submission_id,user_id,score,language,algorithm,label_type
1314237712,user_0009,15.0,java,REPEATED_DFS_REACHABILITY,MANUAL
1323449733,user_0013,15.0,java,DFS_TOPOLOGICAL,MANUAL
1323449824,user_0022,15.0,cpp,BIDIRECTIONAL_DFS_REACHABILITY,MANUAL
1323374501,user_0026,15.0,java,KAHN,MANUAL
1323388419,user_0027,15.0,cpp,KAHN,MANUAL
1391864412,user_0033,15.0,cpp,REPEATED_DFS_REACHABILITY,MANUAL
1391864462,user_0036,15.0,cpp,REPEATED_BFS_REACHABILITY,MANUAL
1314236901,user_0010,12.5,cpp,UNKNOWN,ZERO_SHOT_7B
1323078705,user_0011,12.5,cpp,REPEATED_BFS_REACHABILITY,ZERO_SHOT_7B
1323449697,user_0013,12.5,java,UNKNOWN,ZERO_SHOT_7B
1323079709,user_0025,12.5,java,REPEATED_DFS_REACHABILITY,ZERO_SHOT_7B
1378143030,user_0037,12.5,java,UNKNOWN,ZERO_SHOT_7B
1314237041,user_0046,12.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1314237143,user_0046,12.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1314237394,user_0046,12.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1391831540,user_0050,12.5,java,REPEATED_DFS_REACHABILITY,ZERO_SHOT_7B
1314237440,user_0052,12.5,java,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1314222962,user_0053,12.5,java,DFS_TRANSITIVE_CLOSURE,ZERO_SHOT_7B
1323398884,user_0002,10.0,cpp,UNKNOWN,ZERO_SHOT_7B
1314236638,user_0003,10.0,java,KAHN,ZERO_SHOT_7B
1314236817,user_0007,10.0,java,FLOYD_WARSHALL,ZERO_SHOT_7B
1314237095,user_0007,10.0,java,FLOYD_WARSHALL,ZERO_SHOT_7B
1314237611,user_0007,10.0,java,FLOYD_WARSHALL,ZERO_SHOT_7B
1314236969,user_0030,10.0,java,REPEATED_BFS_REACHABILITY,ZERO_SHOT_7B
1314237178,user_0038,10.0,cpp,FLOYD_WARSHALL,ZERO_SHOT_7B
1314237119,user_0045,10.0,cpp,DFS_TRANSITIVE_CLOSURE,ZERO_SHOT_7B
1314236771,user_0049,10.0,java,REPEATED_DFS_REACHABILITY,ZERO_SHOT_7B
1323105206,user_0006,7.5,java,KAHN,ZERO_SHOT_7B
1314237503,user_0007,7.5,java,FLOYD_WARSHALL,ZERO_SHOT_7B
1314237561,user_0009,7.5,java,REPEATED_DFS_REACHABILITY,ZERO_SHOT_7B
1323079843,user_0011,7.5,cpp,UNKNOWN,ZERO_SHOT_7B
1314237053,user_0012,7.5,java,UNKNOWN,ZERO_SHOT_7B
1323079981,user_0032,7.5,cpp,REPEATED_BFS_REACHABILITY,ZERO_SHOT_7B
1314236712,user_0035,7.5,cpp,FLOYD_WARSHALL,ZERO_SHOT_7B
1314236829,user_0035,7.5,cpp,FLOYD_WARSHALL,ZERO_SHOT_7B
1314237264,user_0035,7.5,cpp,FLOYD_WARSHALL,ZERO_SHOT_7B
1314236520,user_0052,7.5,java,UNKNOWN,ZERO_SHOT_7B
1323398709,user_0002,5.0,cpp,UNKNOWN,ZERO_SHOT_7B
1333803013,user_0005,5.0,java,REPEATED_BFS_REACHABILITY,ZERO_SHOT_7B
1344489937,user_0018,5.0,java,DFS_TRANSITIVE_CLOSURE,ZERO_SHOT_7B
1331892309,user_0029,5.0,java,UNKNOWN,ZERO_SHOT_7B
1331892366,user_0029,5.0,java,UNKNOWN,ZERO_SHOT_7B
1331892429,user_0029,5.0,java,UNKNOWN,ZERO_SHOT_7B
1314236028,user_0032,5.0,java,UNKNOWN,ZERO_SHOT_7B
1378126300,user_0037,5.0,java,KAHN,ZERO_SHOT_7B
1333772905,user_0041,5.0,cpp,UNKNOWN,ZERO_SHOT_7B
1333773505,user_0041,5.0,cpp,UNKNOWN,ZERO_SHOT_7B
1333773627,user_0041,5.0,cpp,REPEATED_BFS_REACHABILITY,ZERO_SHOT_7B
1314236693,user_0045,5.0,cpp,REPEATED_DFS_REACHABILITY,ZERO_SHOT_7B
1314236564,user_0010,2.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1314236632,user_0010,2.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1314236683,user_0010,2.5,cpp,BIDIRECTIONAL_DFS_REACHABILITY,ZERO_SHOT_7B
1378130544,user_0037,2.5,java,KAHN,ZERO_SHOT_7B
1314235234,user_0057,2.5,cpp,UNKNOWN,ZERO_SHOT_7B
1314235845,user_0057,2.5,cpp,UNKNOWN,ZERO_SHOT_7B
